setting_label,evidence_status,source_file,true_label,prob__bearing_ball,prob__bearing_inner,prob__bearing_outer,prob__healthy,severity_group,condition,load_nm,predicted_label,correct,true_probability,max_probability
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104.csv,bearing_ball,0.6495486891819426,0.10762473038431537,0.2423047970049584,0.00052178148273932,High,Speed,20,bearing_ball,True,0.6495486891819426,0.6495486891819426
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708.csv,bearing_ball,0.6448488189092408,0.05819340235379098,0.2957528575045979,0.00120492111881716,High,Speed,40,bearing_ball,True,0.6448488189092408,0.6448488189092408
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626.csv,bearing_ball,0.9922322907541898,0.0006784236528456352,0.00015451759356294894,0.006934769960782359,Light,Speed,20,bearing_ball,True,0.9922322907541898,0.9922322907541898
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826.csv,bearing_ball,0.9825029198279329,0.0009883885181107637,4.107932994683571e-05,0.0164676160111725,Light,Speed,40,bearing_ball,True,0.9825029198279329,0.9825029198279329
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435.csv,bearing_inner,0.0041004067462995595,0.9901032224804469,0.00562990357075262,0.0001664670680029137,High,Speed,40,bearing_inner,True,0.9901032224804469,0.9901032224804469
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743.csv,bearing_inner,0.024344813629478202,0.951570692803352,0.0071107793595728,0.01697371519485858,Light,Speed,20,bearing_inner,True,0.951570692803352,0.951570692803352
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941.csv,bearing_inner,0.04260107032529924,0.8899714384560895,0.01239048600328716,0.05503700621373886,Light,Speed,40,bearing_inner,True,0.8899714384560895,0.8899714384560895
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700.csv,bearing_outer,0.00316519799308636,0.007697085234642099,0.9890866190684507,5.1097246086120376e-05,High,Speed,20,bearing_outer,True,0.9890866190684507,0.9890866190684507
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519.csv,bearing_outer,0.005853777182869601,0.1052919993970131,0.8888482591273743,5.966455881201588e-06,High,Speed,20,bearing_outer,True,0.8888482591273743,0.8888482591273743
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959.csv,bearing_outer,0.00271551325230238,0.030206458861187217,0.9670578101198292,2.02195044733789e-05,High,Speed,40,bearing_outer,True,0.9670578101198292,0.9670578101198292
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_outer_L_speed_circulation_20Nm_3000rpm_250708100411.csv,bearing_outer,0.00637376412084142,0.00430385124867882,0.9825655776431285,0.00675681000895408,Light,Speed,20,bearing_outer,True,0.9825655776431285,0.9825655776431285
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/bearing_outer_L_speed_circulation_40Nm_3000rpm_250708100602.csv,bearing_outer,0.01297887469766568,0.01246490768940962,0.9714431561119767,0.0031130618445695,Light,Speed,40,bearing_outer,True,0.9714431561119767,0.9714431561119767
auxiliary_26,posthoc_exploratory_same_holdout,data/raw/mcc5_thu_motor/MCC5-THU Motor/MCC5-THU Motor_speed_circulation/health_speed_circulation_20Nm_3000rpm_250702162533.csv,healthy,0.009360682344945019,0.0008362318739028001,0.00290616967370958,0.9868969151173184,Healthy (ungraded),Speed,20,healthy,True,0.9868969151173184,0.9868969151173184
