split_name,setting,input_group,feature,transformed_mean,transformed_std,fitted_scale,constant,status
cross_condition,full_engineered_features_254,current,channel_0,3.40870603186427e-12,0.9999999999998842,0.202212833046758,False,pass
cross_condition,full_engineered_features_254,current,channel_1,-9.511509136081092e-13,0.9999999999939072,0.2015234415046897,False,pass
cross_condition,full_engineered_features_254,current,channel_2,-1.1763207466373428e-11,0.9999999999983727,0.2017546983284377,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_band_energy_0_500,5.054483180997247e-10,1.0000000003066698,1087641.4788433604,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_band_energy_2000_5000,-1.3085724886921802e-10,1.0000000004611609,5393.903772845562,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_band_energy_500_2000,-1.3054163059610855e-10,0.999999999912228,596.5715360350376,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_clearance_factor,4.76334923452897e-10,1.0000000098779045,0.540643960079061,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_crest_factor,-1.1413097479911668e-10,0.9999999969074624,0.1191905158514475,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_dominant_frequency,2.7042938775229604e-09,1.0000000065850227,14.104393940585693,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_energy,1.1109763213454443e-10,0.9999999997589176,170.05572717919046,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_high_frequency_ratio,-3.1426494021116803e-10,0.9999999996052318,9.25455863734593e-06,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_impulse_factor,6.285824834678544e-11,1.0000000055408829,0.2402220074923631,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_kurtosis,-2.3035830051451187e-10,0.999999995570272,0.2029161755120061,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_mean,1.4141163151913834e-10,1.000000000611799,0.0036075292932813,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_0.5_1.5,-5.270251309523015e-10,1.0000000004205685,1509870.8311097212,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_1.5_2.5,3.0155891367098706e-11,1.0000000006574,8634.016576570835,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_10_20,4.803315593885222e-10,1.00000000036902,857.9847419537083,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_2.5_5,6.335223876515228e-10,1.000000001238072,3857.7833591012654,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_20_50,4.267368269098768e-10,1.000000001409196,505.301342358298,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_energy_5_10,-3.2594759841126666e-11,0.9999999998416808,1765.346110998936,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_order_entropy,-1.695730903706502e-11,1.0000000004845249,0.4873836581489862,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_peak,8.508303507824615e-11,1.0000000008938268,0.0477033441119766,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_peak_order,7.924658371514487e-09,1.0000000009632457,0.2495443765925432,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_peak_order_amp,-3.452672624016059e-11,0.9999999998152836,354.69832894460814,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_peak_to_peak,1.9480342383922184e-10,0.9999999999166848,0.0957965019688119,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_rms,-1.4397931767849786e-10,1.0000000000368665,0.034574073770094,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_shape_factor,-1.773735840353139e-10,0.9999999957320008,0.0381828307253465,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_skewness,2.2926379851060368e-10,1.000000003309951,0.0739191212340536,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_spectral_centroid,5.0274165230305854e-11,0.999999999609742,20.23006854719965,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_spectral_entropy,-1.695730903706502e-11,1.0000000004845249,0.4873836581489862,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_spectral_kurtosis,5.184938733882507e-10,0.9999999987452236,1338.633469786321,False,pass
cross_condition,full_engineered_features_254,scalar,cur_0_std,6.050689221211963e-10,0.9999999990174876,0.0346153356735169,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_band_energy_0_500,-6.327668166340786e-10,1.0000000000246083,1075704.706972733,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_band_energy_2000_5000,1.5591542691609358e-10,1.000000000589517,5660.476202169077,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_band_energy_500_2000,5.76665070826984e-10,1.0000000003219451,583.6991216962454,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_clearance_factor,-1.3200525056146575e-10,0.9999999930128884,0.5466184990218452,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_crest_factor,-2.3109474315176736e-10,0.9999999999547018,0.1246299660483147,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_dominant_frequency,-1.462020354563963e-09,1.0000000144966674,14.107914224492507,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_energy,3.901424423237204e-10,0.9999999999603746,168.19113244555518,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_high_frequency_ratio,2.535945003484372e-11,1.0000000005256433,9.038585698817547e-06,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_impulse_factor,-4.5320153866248465e-10,0.999999998246428,0.262666704010622,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_kurtosis,-4.929606240865387e-10,0.9999999911770352,0.2284725090991968,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_mean,-2.4595749455819664e-10,1.000000000642952,0.0035642930805335,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_0.5_1.5,-4.590811245229109e-11,1.0000000004303005,1495981.3427961564,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_1.5_2.5,-2.3245764024019477e-10,0.9999999990871064,8614.14514391942,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_10_20,-3.036630354917171e-10,0.9999999993604006,856.6919975114466,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_2.5_5,1.1440445085962351e-10,0.9999999995118466,3862.986374365594,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_20_50,1.34758242903901e-10,1.0000000001747222,505.5636985503273,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_energy_5_10,-4.888628169525729e-10,0.9999999988694565,1761.1977753511835,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_order_entropy,-7.196742209727989e-10,0.9999999993146316,0.4876898435224966,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_peak,-2.964133794002928e-10,1.000000000929749,0.0471552386818204,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_peak_order,4.1011247124046704e-11,0.9999999969593344,0.2496849558905644,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_peak_order_amp,6.838395917372527e-12,0.9999999999585673,353.09022074561966,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_peak_to_peak,2.93811919694663e-11,1.0000000008514238,0.0947983796118051,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_rms,-4.575508541078345e-11,0.9999999995260488,0.0343562094753172,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_shape_factor,8.105412000105289e-11,0.9999999984551022,0.0390198896325553,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_skewness,-7.512300706649401e-10,0.999999997902528,0.0833177998563228,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_spectral_centroid,2.1451521962342435e-10,1.000000000156061,20.564622673190787,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_spectral_entropy,-7.196742209727989e-10,0.9999999993146316,0.4876898435224966,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_spectral_kurtosis,-6.093919360437871e-10,1.0000000005892082,1338.2945158795303,False,pass
cross_condition,full_engineered_features_254,scalar,cur_1_std,3.8073127927100077e-10,0.9999999994580168,0.0344128738646813,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_band_energy_0_500,-4.744220854340512e-10,1.0000000000324565,1078869.9458704577,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_band_energy_2000_5000,-7.620077173773723e-10,0.9999999988593692,5802.168439115683,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_band_energy_500_2000,-6.628940154308947e-11,0.9999999990834176,585.7642274944476,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_clearance_factor,2.733445528930165e-10,1.0000000003261575,0.4706968718532777,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_crest_factor,3.8851413896017816e-10,1.000000002082433,0.122849660903609,False,pass
cross_condition,full_engineered_features_254,scalar,cur_2_dominant_frequency,4.612235031040178e-09,1.0000000095316048,14.107459081513316,False,pass
